"Name","Type","X","Y"
"Jurong East","MRT",103.742308,1.333207
"Bukit Batok","MRT",103.749596,1.349069
"Bukit Gombak","MRT",103.751863,1.359043
"Choa Chu Kang","MRT",103.744316,1.385417
"Yew Tee","MRT",103.747523,1.397383
"Kranji","MRT",103.762049,1.425302
"Marsiling","MRT",103.77415,1.432579
"Woodlands","MRT",103.786406,1.436984
"Admiralty","MRT",103.786406,1.436984
"Sembawang","MRT",103.82006,1.449133
"Yishun","MRT",103.835044,1.429666
"Khatib","MRT",103.832995,1.417423
"Yio Chu Kang","MRT",103.844923,1.381765
"Ang Mo Kio","MRT",103.849588,1.370025
"Bishan","MRT",103.848206,1.35092
"Braddell","MRT",103.847098,1.34055
"Toa Payoh","MRT",103.847436,1.332405
"Novena","MRT",103.843405,1.320089
"Newton","MRT",103.838021,1.31383
"Orchard","MRT",103.831792,1.304041
"Somerset","MRT",103.838428,1.300508
"Dhoby Ghaut","MRT",103.845799,1.299169
"City Hall","MRT",103.852089,1.293119
"Raffles Place","MRT",103.85155,1.284001
"Marina Bay","MRT",103.854598,1.276481
"Marina South Pier","MRT",103.863581,1.271422
"Tuas Link","MRT",103.636866,1.340371
"Tuas West Road","MRT",103.639636,1.330075
"Tuas Crescent","MRT",103.649075,1.321091
"Gul Circle","MRT",103.66083,1.319809
"Joo Koon","MRT",103.678318,1.327826
"Pioneer","MRT",103.69742,1.337645
"Boon Lay","MRT",103.705817,1.33862
"Lakeside","MRT",103.720797,1.344264
"Chinese Garden","MRT",103.732582,1.342436
"Clementi","MRT",103.765341,1.314925
"Dover","MRT",103.778596,1.311414
"Buona Vista","MRT",103.790046,1.307337
"Commonwealth","MRT",103.798326,1.302439
"Queenstown","MRT",103.805902,1.294867
"Redhill","MRT",103.816787,1.289674
"Tiong Bahru","MRT",103.826956,1.286555
"Outram Park","MRT",103.839459,1.280319
"Tanjong Pagar","MRT",103.846771,1.276385
"Bugis","MRT",103.855873,1.300747
"Lavender","MRT",103.863155,1.307577
"Kallang","MRT",103.871372,1.311532
"Aljunied","MRT",103.882762,1.316474
"Paya Lebar","MRT",103.893133,1.318214
"Eunos","MRT",103.902888,1.319809
"Kembangan","MRT",103.913433,1.320998
"Bedok","MRT",103.930205,1.324043
"Tanah Merah","MRT",103.946479,1.327309
"Simei","MRT",103.953343,1.343237
"Tampines","MRT",103.943325,1.354467
"Pasir Ris","MRT",103.949343,1.373234
"Expo","MRT",103.961459,1.334479
"Changi Airport","MRT",103.988487,1.357622
"HarbourFront","MRT",103.820514,1.265453
"Chinatown","MRT",103.843626,1.284566
"Clarke Quay","MRT",103.847521,1.288949
"Little India","MRT",103.849396,1.306691
"Farrer Park","MRT",103.854872,1.312679
"Boon Keng","MRT",103.861655,1.320091
"Potong Pasir","MRT",103.868779,1.331316
"Woodleigh","MRT",103.870727,1.339202
"Serangoon","MRT",103.873635,1.349862
"Kovan","MRT",103.885163,1.360207
"Hougang","MRT",103.892533,1.371406
"Buangkok","MRT",103.893347,1.382991
"Sengkang","MRT",103.895475,1.391682
"Punggol","MRT",103.902367,1.405191
"Bras Basah","MRT",103.850715,1.296978
"Esplanade","MRT",103.855396,1.293995
"Promenade","MRT",103.860156,1.294063
"Nicoll Highway","MRT",103.863449,1.300292
"Stadium","MRT",103.875417,1.302847
"Mountbatten","MRT",103.883175,1.306106
"Dakota","MRT",103.888825,1.308474
"MacPherson","MRT",103.889901,1.326769
"Tai Seng","MRT",103.887706,1.33594
"Bartley","MRT",103.87966,1.342923
"Lorong Chuan","MRT",103.864957,1.35153
"Marymount","MRT",103.839116,1.349089
"Caldecott","MRT",103.839627,1.337649
"Botanic Gardens","MRT",103.814905,1.322387
"Farrer Road","MRT",103.807711,1.317606
"Holland Village","MRT",103.796119,1.311189
"one-north","MRT",103.787584,1.299854
"Kent Ridge","MRT",103.784441,1.293629
"Haw Par Villa","MRT",103.781991,1.283149
"Pasir Panjang","MRT",103.791893,1.276111
"Labrador Park","MRT",103.802557,1.27218
"Telok Blangah","MRT",103.809878,1.270769
"Bayfront","MRT",103.858998,1.281371
"Bukit Panjang","MRT",103.762452,1.37834
"Cashew","MRT",103.764569,1.369997
"Hillview","MRT",103.767371,1.363185
"Beauty World","MRT",103.775682,1.341607
"King Albert Park","MRT",103.783203,1.335721
"Sixth Avenue","MRT",103.79718,1.331221
"Tan Kah Kee","MRT",103.807959,1.325826
"Stevens","MRT",103.825964,1.320012
"Rochor","MRT",103.852581,1.303601
"Downtown","MRT",103.852802,1.27949
"Telok Ayer","MRT",103.848584,1.282285
"Fort Canning","MRT",103.844621,1.291631
"Bencoolen","MRT",103.849984,1.298477
"Jalan Besar","MRT",103.855443,1.305551
"Bendemeer","MRT",103.863098,1.313674
"Geylang Bahru","MRT",103.871457,1.321479
"Mattar","MRT",103.883304,1.326878
"Ubi","MRT",103.898911,1.330008
"Kaki Bukit","MRT",103.909057,1.335076
"Bedok North","MRT",103.918054,1.335268
"Bedok Reservoir","MRT",103.93307,1.336595
"Tampines West","MRT",103.938244,1.345583
"Tampines East","MRT",103.955471,1.35631
"Upper Changi","MRT",103.961505,1.342218
"South View","LRT",103.745286,1.380299
"Keat Hong","LRT",103.749058,1.378604
"Teck Whye","LRT",103.753665,1.376738
"Phoenix","LRT",103.758021,1.378798
"Senja","LRT",103.762312,1.382852
"Jelapang","LRT",103.764547,1.386703
"Segar","LRT",103.769599,1.387713
"Fajar","LRT",103.770862,1.384502
"Bangkit","LRT",103.772576,1.380281
"Pending","LRT",103.771277,1.376223
"Petir","LRT",103.76655,1.377828
"Compassvale","LRT",103.900443,1.394615
"Rumbia","LRT",103.905947,1.391553
"Bakau","LRT",103.905412,1.38804
"Kangkar","LRT",103.90216,1.383957
"Ranggung","LRT",103.897386,1.384116
"Cheng Lim","LRT",103.89379,1.396332
"Farmway","LRT",103.889168,1.397178
"Kupang","LRT",103.881283,1.398271
"Thanggam","LRT",103.87561,1.397378
"Fernvale","LRT",103.876256,1.392033
"Layar","LRT",103.880022,1.392141
"Tongkang","LRT",103.885829,1.389519
"Renjong","LRT",103.890541,1.386827
"Cove","LRT",103.905792,1.399534
"Meridian","LRT",103.908884,1.397002
"Coral Edge","LRT",103.912633,1.39392
"Riviera","LRT",103.916056,1.39454
"Kadaloor","LRT",103.916536,1.399633
"Oasis","LRT",103.912736,1.402304
"Damai","LRT",103.908606,1.405293
"Sam Kee","LRT",103.90492,1.409808
"Teck Lee","LRT",103.906565,1.412783
"Punggol Point","LRT",103.90668,1.416932
"Samudera","LRT",103.902185,1.415955
"Nibong","LRT",103.900321,1.411865
"Sumang","LRT",103.898605,1.408501
"Soo Teck","LRT",103.897287,1.405436
